Process_Name,P_id,Process_Username
GoogleCrashHandler.exe,6376,NT AUTHORITY\SYSTEM
svchost.exe,6536,NT AUTHORITY\LOCAL SERVICE
dllhost.exe,6724,DESKTOP-G9FTNSD\Yogesh
chrome.exe,6796,DESKTOP-G9FTNSD\Yogesh
igfxEM.exe,6876,DESKTOP-G9FTNSD\Yogesh
RuntimeBroker.exe,6928,DESKTOP-G9FTNSD\Yogesh
svchost.exe,6944,NT AUTHORITY\SYSTEM
svchost.exe,7000,NT AUTHORITY\LOCAL SERVICE
SearchIndexer.exe,7028,NT AUTHORITY\SYSTEM
PresentationFontCache.exe,7032,NT AUTHORITY\LOCAL SERVICE
chrome.exe,7128,DESKTOP-G9FTNSD\Yogesh
svchost.exe,7380,NT AUTHORITY\LOCAL SERVICE
dwm.exe,7676,Window Manager\DWM-31
svchost.exe,7696,NT AUTHORITY\LOCAL SERVICE
svchost.exe,7728,NT AUTHORITY\LOCAL SERVICE
py.exe,7940,DESKTOP-G9FTNSD\Yogesh
AvastUI.exe,8136,DESKTOP-G9FTNSD\Yogesh
svchost.exe,8208,DESKTOP-G9FTNSD\Yogesh
TextInputHost.exe,8288,DESKTOP-G9FTNSD\Yogesh
chrome.exe,8664,DESKTOP-G9FTNSD\Yogesh
SearchProtocolHost.exe,8696,NT AUTHORITY\SYSTEM
svchost.exe,8932,NT AUTHORITY\LOCAL SERVICE
svchost.exe,9232,NT AUTHORITY\SYSTEM
svchost.exe,9348,NT AUTHORITY\SYSTEM
conhost.exe,9384,DESKTOP-G9FTNSD\Yogesh
svchost.exe,9388,NT AUTHORITY\LOCAL SERVICE
chrome.exe,9484,DESKTOP-G9FTNSD\Yogesh
acrotray.exe,9528,DESKTOP-G9FTNSD\Yogesh
fontdrvhost.exe,9564,Font Driver Host\UMFD-31
dasHost.exe,9724,NT AUTHORITY\LOCAL SERVICE
chrome.exe,9796,DESKTOP-G9FTNSD\Yogesh
NVDisplay.Container.exe,9960,NT AUTHORITY\SYSTEM
svchost.exe,10112,NT AUTHORITY\SYSTEM
svchost.exe,10116,NT AUTHORITY\SYSTEM
svchost.exe,10172,NT AUTHORITY\NETWORK SERVICE
YourPhone.exe,10416,DESKTOP-G9FTNSD\Yogesh
SecurityHealthService.exe,10468,NT AUTHORITY\SYSTEM
GoogleCrashHandler64.exe,10540,NT AUTHORITY\SYSTEM
SystemSettings.exe,10604,DESKTOP-G9FTNSD\Yogesh
chrome.exe,10636,DESKTOP-G9FTNSD\Yogesh
AvastUI.exe,10684,DESKTOP-G9FTNSD\Yogesh
